Samples,NMDS1,NMDS2,Year,Location,Direction
CPP02,-0.455364719,0.583216648,2020,Pine Beach,NE
CPP03,0.225609932,0.421825314,2020,Woodend Beach,NE
CPP04,0.826902757,0.782086223,2020,Mcleans Island,SE
CPP05,0.135095454,0.193945176,2020,Hakett,SE
CPP06,-0.038387488,0.027924706,2020,Kirwee,SW
CPP07,-0.730196869,0.049706499,2020,Hawkins,SW
CPP08,0.385992278,0.206987883,2020,Greendale,SW
CPP12,0.304813436,0.131129116,2020,Mandeville North,NE
CPP13,0.568852704,-0.161317887,2020,Eyrewell,NE
CPP15,0.334623696,-0.036973613,2020,Oxford,NW
CPP16,0.178524795,-0.361475702,2020,Ashley Gorge ,NW
CPP18,0.068591737,-0.358885236,2020,Waddington,NW
CPP19,0.862558956,-0.658266832,2020,Kowai Stream,NW
CPP20,-0.541432492,-0.649976413,2020,Russells Flat,NW
CPP21,-1.184647336,-0.137027071,2020,Whitecliffs,SW
CPP22,-0.975229121,-0.711626894,2020,Glenroy,SW
CPP24,-0.43272504,-0.061407377,2020,Ladbrook,SE
CPP27,-0.032478634,0.607600054,2021,Woodend Beach,NE
CPP28,0.895540847,0.663953046,2021,Mcleans Island,SE
CPP30,0.632472898,0.323169307,2021,Kirwee,SW
CPP31,0.369621799,0.016340102,2021,Hawkins,SW
CPP32,0.442731722,0.099058259,2021,Greendale,SW
CPP33,-0.016646,-0.59790247,2021,Sandy Knolls,SE
CPP34,0.114615885,0.067743159,2021,Ellesmere/Springston ,SE
CPP35,0.569431053,0.577819493,2021,Fernside,NE
CPP36,-0.273700126,0.244162776,2021,Mandeville North,NE
CPP37,0.149750999,-0.135998786,2021,Eyrewell,NE
CPP38,0.481916933,0.018768631,2021,Cust,NE
CPP42,0.173723899,0.040590937,2021,Waddington,NW
CPP44,-4.139782903,0.502558903,2021,Russells Flat,NW
CPP45,0.602066904,0.198078402,2021,Whitecliffs,SW
CPP46,-0.00448845,-1.469356445,2021,Glenroy,SW
CPP47,0.501640494,-0.416449911,2021,Te Pirita,SW
