Sample ID,Actually_usable_sample_name,Sample Name,Year,Location ,lat,long,Direction
ITS/16S_CPP1,CPP01,CPP1,2020,Bottle Lake,-43.28.15,172.40.50,SE
ITS/16S_CPP2,CPP02,CPP2,2020,Pine Beach,-43.23.11,172.42.13,NE
ITS/16S_CPP3,CPP03,CPP3,2020,Woodend Beach,-43.20.15,172.42.27,NE
ITS/16S_CPP4,CPP04,CPP4,2020,Mcleans Island,-43.27.58,172.28.05,SE
ITS/16S_CPP5,CPP05,CPP5,2020,Hakett,-43.29.60,172.19.18,SE
ITS/16S_CPP6,CPP06,CPP6,2020,Kirwee,-43.29.31,172.12.29,SW
ITS/16S_CPP7,CPP07,CPP7,2020,Hawkins,-43.28.58,172.03.19,SW
ITS/16S_CPP8,CPP08,CPP8,2020,Greendale,-43.33.10,172.05.27,SW
ITS/16S_CPP9,CPP09,CPP9,2020,Sandy Knolls,-43.34.52,172.17.32,SE
ITS/16S_CPP10,CPP10,CPP10,2020,Ellesmere/Springston ,-43.38.29,172.21.50,SE
ITS/16S_CPP11,CPP11,CPP11,2020,Fernside,-43.18.41,172.32.19,NE
ITS/16S_CPP12,CPP12,CPP12,2020,Mandeville North,-43.22.44,172.32.09,NE
ITS/16S_CPP13,CPP13,CPP13,2020,Eyrewell,-43.22.45,172.22.04,NE
ITS/16S_CPP14,CPP14,CPP14,2020,Cust,-43.18.55,172.21.27,NE
ITS/16S_CPP15,CPP15,CPP15,2020,Oxford,-43.19.08,172.08.25,NW
ITS/16S_CPP16,CPP16,CPP16,2020,Ashley Gorge ,-43.15.15,172.12.17,NW
ITS/16S_CPP17,CPP17,CPP17,2020,View Hill,-43.18.11,172.03.33,NW
ITS/16S_CPP18,CPP18,CPP18,2020,Waddington,-43.23.22,172.02.09,NW
ITS/16S_CPP19,CPP19,CPP19,2020,Kowai Stream,-43.19.17,171.55.38,NW
ITS/16S_CPP20,CPP20,CPP20,2020,Russells Flat,-43.22.51,171.52.02,NW
ITS/16S_CPP21,CPP21,CPP21,2020,Whitecliffs,-43.27.29,171.53.15,SW
ITS/16S_CPP22,CPP22,CPP22,2020,Glenroy,-43.31.12,171.49.46,SW
ITS/16S_CPP23,CPP23,CPP23,2020,Te Pirita,-43.38.06,171.53.36,SW
ITS/16S_CPP24,CPP24,CPP24,2020,Ladbrook,-43.37.54,172.33.39,SE
ITS/16S_CPP25,CPP25,CPP1,2021,Bottle Lake,-43.28.15,172.40.50,SE
ITS/16S_CPP26,CPP26,CPP2,2021,Pine Beach,-43.23.11,172.42.13,NE
ITS/16S_CPP27,CPP27,CPP3,2021,Woodend Beach,-43.20.15,172.42.27,NE
ITS/16S_CPP28,CPP28,CPP4,2021,Mcleans Island,-43.27.58,172.28.05,SE
ITS/16S_CPP29,CPP29,CPP5,2021,Hakett,-43.29.60,172.19.18,SE
ITS/16S_CPP30,CPP30,CPP6,2021,Kirwee,-43.29.31,172.12.29,SW
ITS/16S_CPP31,CPP31,CPP7,2021,Hawkins,-43.28.58,172.03.19,SW
ITS/16S_CPP32,CPP32,CPP8,2021,Greendale,-43.33.10,172.05.27,SW
ITS/16S_CPP33,CPP33,CPP9,2021,Sandy Knolls,-43.34.52,172.17.32,SE
ITS/16S_CPP34,CPP34,CPP10,2021,Ellesmere/Springston ,-43.38.29,172.21.50,SE
ITS/16S_CPP35,CPP35,CPP11,2021,Fernside,-43.18.41,172.32.19,NE
ITS/16S_CPP36,CPP36,CPP12,2021,Mandeville North,-43.22.44,172.32.09,NE
ITS/16S_CPP37,CPP37,CPP13,2021,Eyrewell,-43.22.45,172.22.04,NE
ITS/16S_CPP38,CPP38,CPP14,2021,Cust,-43.18.55,172.21.27,NE
ITS/16S_CPP39,CPP39,CPP15,2021,Oxford,-43.19.08,172.08.25,NW
ITS/16S_CPP40,CPP40,CPP16,2021,Ashley Gorge ,-43.15.15,172.12.17,NW
ITS/16S_CPP41,CPP41,CPP17,2021,View Hill,-43.18.11,172.03.33,NW
ITS/16S_CPP42,CPP42,CPP18,2021,Waddington,-43.23.22,172.02.09,NW
ITS/16S_CPP43,CPP43,CPP19,2021,Kowai Stream,-43.19.17,171.55.38,NW
ITS/16S_CPP44,CPP44,CPP20,2021,Russells Flat,-43.22.51,171.52.02,NW
ITS/16S_CPP45,CPP45,CPP21,2021,Whitecliffs,-43.27.29,171.53.15,SW
ITS/16S_CPP46,CPP46,CPP22,2021,Glenroy,-43.31.12,171.49.46,SW
ITS/16S_CPP47,CPP47,CPP23,2021,Te Pirita,-43.38.06,171.53.36,SW
ITS/16S_CPP48,CPP48,CPP24,2021,Ladbrook,-43.37.54,172.33.39,SE
